Date,Open,High,Low,Close,Adj Close,Volume
2022-09-12,25321.210938,25511.029297,25193.779297,169074.15,25286.490234,339690000
2022-09-13,25388.080078,25501.289063,24935.820313,151856.07,25080.500000,384240000
2022-09-14,25061.480469,25354.560547,24787.789063,191534.63,25289.269531,392750000
2022-09-15,25242.349609,25510.230469,25147.800781,168454.02,25413.220703,354460000
2022-09-16,25392.609375,25392.609375,24900.980469,179315.31,25017.439453,358090000
2022-09-17,24618.679688,24707.259766,24368.980469,167163.99,24465.640625,445920000
2022-09-18,24541.650391,24669.789063,24463.279297,156585.22,24464.689453,289370000
2022-09-19,24336.400391,24408.800781,24268.740234,173718.22,24285.949219,155940000
2022-09-20,24364.130859,24673.289063,24364.130859,213004.4,24640.240234,306280000
2022-09-21,24557.019531,24750.730469,24416.029297,158221.03,24748.730469,308250000
2022-09-22,24832.839844,25368.929688,24832.839844,169788,25366.429688,362160000
2022-09-23,25343.650391,25479.039063,25202.789063,160462.02,25338.839844,305110000
2022-09-24,25307.140625,25549.710938,25250.970703,129725.1,25538.460938,482250000
2022-09-25,25779.570313,25980.210938,25670.509766,165724.7,25826.429688,388480000
2022-09-26,25752.560547,25773.119141,25008.109375,141151.8,25027.070313,418900000
2022-09-27,24737.419922,24951.009766,24242.220703,147583.19,24947.669922,471690000
2022-09-28,24918.820313,25095.619141,24284.779297,159352.88,24388.949219,398230000
2022-09-29,24360.949219,24500.810547,23881.369141,146434.58,24423.259766,389690000
2022-09-30,24719.910156,24791.259766,24221.060547,151100.22,24370.240234,342960000
2022-10-01,24509.089844,24828.289063,24509.089844,174643.32,24527.269531,344330000
2022-10-02,24575.859375,24740.960938,24473.289063,180039.45,24597.380859,299970000
2022-10-03,24408.039063,24431.140625,24033.789063,190224.11,24100.509766,416940000
2022-10-04,23986.830078,24088.080078,23456.880859,133198.41,23592.980469,466740000
2022-10-05,23769.130859,23927.769531,23516.019531,176442.89,23675.640625,408070000
2022-10-06,23693.330078,24057.339844,23162.640625,191060.36,23323.660156,503550000
2022-10-07,23224.119141,23282.199219,22644.310547,179086.43,22859.599609,576700000
2022-10-08,22871.740234,23254.589844,22396.339844,204313.37,22445.369141,900510000
2022-10-09,22317.279297,22339.869141,21792.199219,187861.01,21792.199219,308420000
2022-10-10,21857.730469,22878.919922,21712.529297,173787.97,22878.449219,433080000
2022-10-11,22629.060547,23138.890625,22267.419922,175211.15,23138.820313,407940000
2022-10-12,23213.609375,23381.880859,22981.330078,176269.91,23062.400391,336510000
2022-10-13,23153.939453,23333.179688,23118.300781,199910.57,23327.460938,288830000
2022-10-14,23058.609375,23413.470703,22928.589844,180613.23,23346.240234,321570000
2022-10-15,23176.390625,23176.390625,22638.410156,173639.45,22686.220703,424240000
2022-10-16,22894.919922,23518.640625,22894.919922,188232.7,23433.160156,396020000
2022-10-17,23474.259766,23687.740234,23301.589844,160059.87,23531.349609,334200000
2022-10-18,23680.320313,23864.650391,23581.449219,147532.15,23787.449219,317420000
2022-10-19,23844.269531,24084.710938,23703.160156,148085.77,23879.119141,324570000
2022-10-20,23811.109375,24014.779297,23703.250000,142571.4,24001.919922,338150000
2022-10-21,23940.009766,23996.320313,23798.160156,134142.2,23995.949219,262650000
2022-10-22,23880.529297,23964.900391,23765.240234,143072.18,23909.839844,277560000
2022-10-23,23914.109375,24099.140625,23887.929688,190354.59,24065.589844,291570000
2022-10-24,24139.910156,24288.609375,24119.720703,164480.93,24207.160156,302830000
2022-10-25,24147.089844,24474.460938,24088.900391,136460.5,24370.099609,288590000
2022-10-26,24534.189453,24750.220703,24459.029297,140570.14,24706.349609,372970000
2022-10-27,24607.759766,24607.759766,24244.310547,129765.66,24404.480469,338480000
2022-10-28,24577.250000,24700.980469,24307.169922,130770.03,24575.619141,318600000
2022-10-29,24579.960938,24626.300781,24422.730469,166372.28,24553.240234,320170000
2022-10-30,24687.210938,24860.150391,24676.750000,175016.61,24737.199219,376890000
2022-10-31,24596.980469,24596.980469,24323.939453,143215.1,24528.220703,347170000
2022-11-01,24519.619141,24674.869141,24504.039063,142483.1,24579.960938,330870000
2022-11-02,24826.519531,25109.619141,24790.900391,133055.36,25014.859375,397330000
2022-11-03,24954.480469,25049.619141,24842.089844,155398.85,24999.669922,507350000
2022-11-04,25025.310547,25193.150391,24982.490234,169714.46,25063.890625,372090000
2022-11-05,25062.119141,25239.910156,24977.669922,180763.61,25239.369141,298540000
2022-11-06,25287.929688,25427.320313,25287.650391,206386.82,25411.519531,310650000
2022-11-07,25371.570313,25439.039063,25312.060547,172053.69,25390.300781,247590000
2022-11-08,25265.810547,25314.259766,25000.519531,146678.06,25169.529297,295460000
